"INCIDENT DATE","CLAIM DATE","COUNTY","DISTRICT","ROUTE","STATUS"
2023-06-27,"2023-09-27","Alameda",4,"880","unclear/unknown/pending"
2022-12-24,"2023-01-03","Alameda",4,"238","Deny"
2022-05-03,"2022-06-16","Alameda",4,"880","unclear/unknown/pending"
2018-01-28,"2018-03-26","Alameda",4,"580","Deny"
2023-03-08,"2023-03-27","Alameda",4,"680","Deny"
2020-10-23,"2020-12-04","Alameda",4,"580","Deny"
2018-01-07,"2018-02-02","Alameda",4,"680","Deny"
2023-01-13,"2023-06-06","Alameda",4,"880","unclear/unknown/pending"
2018-10-20,"2019-01-16","Alameda",4,"580","Deny"
2023-03-04,"2023-04-04","Alameda",4,"94","Deny"
2019-07-12,"2019-09-24","Alameda",4,"680","unclear/unknown/pending"
2023-02-04,"2023-04-27","Alameda",4,"NSH","Deny"
2022-10-17,"2023-02-27","Alameda",4,"580","Deny"
2021-12-14,"2021-12-28","Alameda",4,"580","Deny"
2021-10-25,"2022-03-22","Alameda",4,"92","Deny"
2020-08-15,"2020-09-24","Alameda",4,"NSH","Deny"
2020-03-04,"2020-04-21","Alameda",4,"80","Deny"
2022-04-16,"2022-08-19","Alameda",4,"84","Deny"
2019-09-05,"2019-09-14","Alameda",4,"580","Deny"
2023-03-16,"2023-06-21","Alameda",4,"80","unclear/unknown/pending"
2023-04-14,"2023-10-12","Alameda",4,"NSH","unclear/unknown/pending"
2018-08-23,"2018-10-08","Alameda",4,"680","Deny"
2018-01-02,"2018-01-10","Alameda",4,"205","Deny"
2018-05-08,"2018-05-30","Alameda",4,"580","Deny"
2023-01-09,"2023-03-20","Alameda",4,"980","Deny"
2020-01-01,"2020-01-28","Alameda",4,"580","Deny"
2018-11-26,"2018-12-18","Alameda",4,"880","Deny"
2020-01-16,"2020-03-10","Alameda",4,"680","Deny"
2023-04-14,"2023-04-25","Alameda",4,"185","Deny"
2021-08-10,"2021-09-21","Alameda",4,"580","Deny"
2023-01-19,"2023-03-27","Alameda",4,"20.626999999999999","Deny"
2023-03-28,"2023-04-17","Alameda",4,"NSH","unclear/unknown/pending"
2020-09-21,"2021-04-01","Alameda",4,"580","Deny"
2018-07-10,"2018-07-27","Alameda",4,"680","Deny"
2022-12-12,"2023-03-24","Alameda",4,"92","Deny"
2019-02-19,"2019-03-05","Alameda",4,"880","Deny"
2023-03-17,"2023-03-27","Alameda",4,"880","Deny"
2020-02-03,"2020-02-25","Alameda",4,"92","Deny"
2023-06-03,"2023-06-12","Alameda",4,"880","unclear/unknown/pending"
2018-04-04,"2018-05-09","Alameda",4,"580","Deny"
2023-01-24,"2023-02-04","Alameda",4,"880","unclear/unknown/pending"
2023-01-22,"2023-03-28","Alameda",4,"880","Deny"
2019-02-16,"2019-03-26","Alameda",4,"580","Deny"
2018-06-24,"2018-07-10","Alameda",4,"880","Deny"
2018-12-19,"2019-04-08","Alameda",4,"NSH","Approve"
2023-03-23,"2023-04-15","Alameda",4,"580","unclear/unknown/pending"
2023-04-06,"2023-05-03","Alameda",4,"880","Deny"
2019-08-27,"2019-09-17","Alameda",4,"580","unclear/unknown/pending"
2023-01-02,"2023-04-14","Alameda",4,"92","Deny"
2022-12-31,"2023-01-14","Alameda",4,"80","Deny"
2023-01-28,"2023-03-27","Alameda",4,"80","unclear/unknown/pending"
2023-03-08,"2023-03-31","Alameda",4,"880","Deny"
2019-01-22,"2019-02-04","Alameda",4,"880","Deny"
2022-12-31,"2023-01-31","Alameda",4,"580","Deny"
2023-01-26,"2023-02-01","Alameda",4,"980","Deny"
2018-02-24,"2018-03-27","Alameda",4,"580","Deny"
2023-03-31,"2023-04-19","Alameda",4,"80","unclear/unknown/pending"
2019-03-06,"2019-06-17","Alameda",4,"680","Deny"
2022-12-06,"2022-12-16","Alameda",4,"580","Deny"
2018-11-22,"2018-12-20","Alameda",4,"80","Deny"
2022-02-25,"2022-07-21","Alameda",4,"13","Deny"
2021-11-05,"2021-11-23","Alameda",4,"80","Deny"
2023-05-06,"2023-05-09","Alameda",4,"84","unclear/unknown/pending"
2022-04-14,"2022-03-14","Alameda",4,"580","unclear/unknown/pending"
2023-01-16,"2023-02-28","Alameda",4,"n/a","Deny"
2022-03-11,"2022-04-13","Alameda",4,NA,"Deny"
2021-05-10,"2021-06-15","Alameda",4,"580","Deny"
2019-03-21,"2019-05-06","Alameda",4,"260","Deny"
2019-02-16,"2019-03-25","Alameda",4,"84","Deny"
2023-03-27,"2023-04-28","Alameda",4,"880","unclear/unknown/pending"
2022-06-11,"2022-08-29","Alameda",4,"680","unclear/unknown/pending"
2020-07-21,"2020-07-27","Alameda",4,"880","Deny"
2023-04-15,"2023-05-04","Alameda",4,"24","Deny"
2022-05-07,"2022-07-16","Alameda",4,"84","Deny"
2018-08-08,"2018-08-31","Alameda",4,"580","Approve"
2023-03-10,"2023-03-25","Alameda",4,"680","Deny"
2022-09-25,"2022-11-17","Alameda",4,"?","unclear/unknown/pending"
2023-04-23,"2023-05-02","Alameda",4,"NSH","Deny"
2018-12-19,"2019-02-04","Alameda",4,"NSH","Deny"
2020-04-02,"2020-06-08","Alameda",4,"580","Deny"
2021-10-26,"2022-02-08","Alameda",4,"580 and 80","Deny"
2022-12-30,"2023-01-05","Alameda",4,"84","Deny"
2021-06-21,"2021-11-30","Alameda",4,"680","Deny"
2023-02-12,"2023-03-10","Alameda",4,"n/a","Deny"
2018-04-28,"2018-05-09","Alameda",4,"580","Deny"
2020-10-22,"2020-11-13","Alameda",4,"880","Deny"
2019-09-27,"2019-11-12","Alameda",4,"880","Deny"
2023-05-20,"2023-05-22","Alameda",4,"680","Deny"
2018-06-03,"2018-06-08","Alameda",4,"580","Deny"
2023-03-25,"2023-04-28","Alameda",4,"680","unclear/unknown/pending"
2022-04-01,"2022-10-21","Alameda",4,"580","Deny"
2018-01-10,"2018-02-28","Alameda",4,"580","Approve"
2023-04-24,"2023-05-01","Alameda",4,"24","Deny"
2018-12-05,"2019-04-26","Alameda",4,"80","Deny"
2023-04-18,"2023-05-02","Alameda",4,"680","unclear/unknown/pending"
2019-12-18,"2020-01-08","Alameda",4,"24","unclear/unknown/pending"
2018-01-31,"2018-07-24","Alameda",4,"580","Deny"
2023-03-17,"2023-04-03","Alameda",4,"238","Deny"
2020-03-18,"2020-04-16","Alameda",4,"NSH","Deny"
2023-01-26,"2023-02-13","Alameda",4,"NSH","Deny"
2019-07-21,"2019-08-28","Alameda",4,"238","Deny"
2019-02-11,"2019-02-22","Alameda",4,"238","Deny"
2022-12-31,"2023-01-12","Alameda",4,"580","Deny"
2018-10-09,"2018-11-02","Alameda",4,"580","unclear/unknown/pending"
2023-02-03,"2023-02-10","Alameda",4,"680","unclear/unknown/pending"
2018-01-25,"2018-04-20","Alameda",4,"80","Deny"
2022-01-03,"2022-03-08","Alameda",4,"580","unclear/unknown/pending"
2023-03-17,"2023-03-29","Alameda",4,"680","unclear/unknown/pending"
2018-07-25,"2018-08-09","Alameda",4,"92","Deny"
2022-12-21,"2023-05-09","Alameda",4,"880","unclear/unknown/pending"
2019-11-26,"2019-12-18","Alameda",4,"NSH","Deny"
2023-04-14,"2023-04-26","Alameda",4,"24","unclear/unknown/pending"
2023-03-18,"2023-03-27","Alameda",4,"238","unclear/unknown/pending"
2022-12-31,"2023-06-09","Alameda",4,"580","Deny"
2018-06-08,"2018-10-16","Alameda",4,"580","Deny"
2023-03-08,"2023-04-14","Alameda",4,"238","unclear/unknown/pending"
2023-03-08,"2023-03-31","Alameda",4,"238","Deny"
2023-01-22,"2023-01-27","Alameda",4,"80","Deny"
2022-11-04,"2023-04-26","Alameda",4,"680","Deny"
2018-02-11,"2018-06-21","Alameda",4,"580","Deny"
2023-01-26,"2023-02-06","Alameda",4,"680","Deny"
2023-03-15,"2023-04-05","Alameda",4,"NSH","unclear/unknown/pending"
2023-05-15,"2023-06-13","Alameda",4,"NSH","Deny"
2019-07-09,"2019-07-22","Alameda",4,"880","Deny"
2023-04-22,"2023-05-03","Alameda",4,"80","Deny"
2019-04-21,"2019-05-15","Alameda",4,"24","Deny"
2018-09-14,"2018-10-30","Alameda",4,"680","Deny"
2023-03-23,"2023-05-05","Alameda",4,"NSH","Deny"
2023-02-18,"2023-02-22","Alameda",4,"880","Deny"
2022-12-31,"2023-01-23","Alameda",4,"238","Deny"
2020-09-21,"2021-04-01","Alameda",4,"580","Deny"
2021-04-15,"2021-05-10","Alameda",4,"580","Deny"
2023-03-22,"2023-04-11","Alameda",4,"24","Deny"
2023-03-01,"2023-05-13","Alameda",4,"580","unclear/unknown/pending"
2023-03-16,"2023-04-06","Alameda",4,"84","unclear/unknown/pending"
2018-11-27,"2019-02-07","Alameda",4,"580","Deny"
2018-01-01,"2018-01-29","Alameda",4,"580","Deny"
2023-01-01,"2023-05-16","Alameda",4,"238","unclear/unknown/pending"
2022-12-31,"2023-06-08","Alameda",4,"NSH","unclear/unknown/pending"
2023-05-29,"2023-07-31","Alameda",4,"84","unclear/unknown/pending"
2023-03-06,"2023-03-30","Alameda",4,"80","unclear/unknown/pending"
2023-04-01,"2023-05-05","Alameda",4,"580","unclear/unknown/pending"
2021-06-10,"2021-07-19","Alameda",4,"80","Deny"
2022-12-11,"2022-12-29","Alameda",4,"680","Deny"
2018-10-30,"2018-11-15","Alameda",4,"580","Deny"
2023-02-27,"2023-03-17","Alameda",4,"92","Deny"
2023-02-27,"2023-03-07","Alameda",4,"92","Deny"
2023-04-15,"2023-04-17","Alameda",4,"680","Deny"
2021-02-28,"2021-04-12","Alameda",4,"880","Deny"
2019-07-19,"2019-08-01","Alameda",4,"880","Deny"
2023-03-21,"2023-05-06","Alameda",4,"NSH","unclear/unknown/pending"
2023-02-20,"2023-03-27","Alameda",4,"880","Deny"
2021-12-24,"2022-02-16","Alameda",4,"84","Deny"
2023-04-23,"2023-05-30","Alameda",4,"80","unclear/unknown/pending"
2023-04-08,"2023-04-21","Alameda",4,"NSH","Deny"
2023-03-13,"2023-03-22","Alameda",4,"283","Deny"
2019-03-13,"2019-04-18","Alameda",4,"580","Deny"
2022-07-15,"2022-08-12","Alameda",4,"580","Deny"
2023-01-18,"2023-02-13","Alameda",4,"NSH","Deny"
2023-03-31,"2023-04-05","Alameda",4,"880","Deny"
2021-06-02,"2021-07-26","Alameda",4,"80","unclear/unknown/pending"
2022-11-11,"2022-11-25","Alameda",4,"880","Deny"
2018-03-05,"2018-03-29","Alameda",4,"580","Deny"
2019-04-23,"2019-09-16","Alameda",4,"580","Deny"
2023-04-25,"2023-05-18","Alameda",4,"24","Deny"
2023-06-18,"2023-07-25","Alameda",4,"84","unclear/unknown/pending"
2023-03-22,"2023-03-28","Alameda",4,"880","Deny"
2018-10-20,"2018-12-07","Alameda",4,"580","Deny"
2018-12-28,"2019-04-09","Alameda",4,"580","Deny"
2023-03-11,"2023-03-21","Alameda",4,"238","unclear/unknown/pending"
2018-01-26,"2018-02-20","Alameda",4,"880","Deny"
2018-01-06,"2018-02-02","Alameda",4,"880","Deny"
2023-02-28,"2023-05-05","Alameda",4,"680","Deny"
2022-11-20,"2022-11-30","Alameda",4,"84","Deny"
2023-04-17,"2023-05-22","Alameda",4,"84","unclear/unknown/pending"
2020-01-12,"2020-02-11","Alameda",4,"580","unclear/unknown/pending"
2023-03-08,"2023-03-23","Alameda",4,"880","Deny"
2022-12-08,"2023-01-25","Alameda",4,"680","Deny"
2022-12-31,"2023-02-17","Alameda",4,"580","Deny"
2018-01-13,"2018-03-21","Alameda",4,"880","unclear/unknown/pending"
2019-03-29,"2019-04-22","Alameda",4,"92","Deny"
2023-01-14,"2023-01-20","Alameda",4,"880","Deny"
2023-02-16,"2023-03-10","Alameda",4,"880","Deny"
2018-04-25,"2018-06-04","Alameda",4,"980","Deny"
2018-01-09,"2018-03-06","Alameda",4,"580","Deny"
2019-01-23,"2019-05-09","Alameda",4,"580","unclear/unknown/pending"
2023-03-25,"2023-04-01","Alameda",4,"880","Deny"
2023-04-08,"2023-08-02","Alameda",4,"880","unclear/unknown/pending"
2023-03-15,"2023-03-25","Alameda",4,"880","Deny"
2023-01-22,"2023-03-01","Alameda",4,"80","Deny"
2022-12-21,"2023-01-17","Alameda",4,"880","unclear/unknown/pending"
2023-03-02,"2023-03-23","Alameda",4,"NSH","Deny"
2019-02-20,"2019-03-26","Alameda",4,"80","Deny"
2023-03-16,"2023-03-27","Alameda",4,"880","unclear/unknown/pending"
2018-11-03,"2018-11-16","Alameda",4,"580","Deny"
2019-02-06,"2019-02-13","Alameda",4,"92","Deny"
2019-06-13,"2019-07-23","Alameda",4,"580","Deny"
2023-03-23,"2023-03-29","Alameda",4,"NSH","Deny"
2021-09-24,"2021-11-23","Alameda",4,"280","Deny"
2018-04-13,"2018-04-23","Alameda",4,"N.S.H.","Deny"
2023-03-04,"2023-04-14","Alameda",4,"84","Deny"
2023-03-15,"2023-03-27","Alameda",4,"Oakport Ave","Deny"
2023-03-21,"2023-04-03","Alameda",4,"880","Deny"
2019-07-21,"2019-08-17","Alameda",4,"880","Deny"
2018-02-21,"2018-03-02","Alameda",4,"580","Deny"
2019-12-03,"2020-06-19","Alameda",4,"880","Deny"
2021-12-27,"2022-01-11","Alameda",4,"24","Deny"
2022-11-11,"2023-01-16","Alameda",4,"NSH","Deny"
2023-01-07,"2023-04-17","Alameda",4,"680","Deny"
2023-05-08,"2023-05-30","Alameda",4,"880","unclear/unknown/pending"
2022-12-31,"2023-05-31","Alameda",4,"580","Deny"
2023-02-10,"2023-03-29","Alameda",4,"NSH","Deny"
2020-04-08,"2020-06-09","Alameda",4,"880","Deny"
2021-12-28,"2022-01-04","Alameda",4,"880","Deny"
2022-07-28,"2023-04-05","Alameda",4,"NSH","Deny"
2023-02-26,"2023-03-04","Alameda",4,"880","Deny"
2023-01-12,"2023-04-04","Alameda",4,"880","unclear/unknown/pending"
2018-06-23,"2018-08-15","Alameda",4,"24","Deny"
2018-05-01,"2018-05-22","Alameda",4,"580","Deny"
2020-09-22,"2020-09-29","Alameda",4,"680/580","Deny"
2023-02-04,"2023-02-09","Alameda",4,"880","Deny"
2022-01-14,"2023-01-30","Alameda",4,"238","unclear/unknown/pending"
2022-12-28,"2022-12-30","Alameda",4,"680","Deny"
2019-02-14,"2019-02-19","Alameda",4,"13","Deny"
2018-04-07,"2018-05-03","Alameda",4,"185","Deny"
2019-03-18,"2019-05-29","Alameda",4,"680","Deny"
2022-12-18,"2023-01-12","Alameda",4,"580","unclear/unknown/pending"
2023-02-09,"2023-03-22","Alameda",4,"680","unclear/unknown/pending"
2018-06-15,"2018-07-24","Alameda",4,"580","Deny"
2023-05-17,"2023-10-11","Alameda",4,"84","unclear/unknown/pending"
2023-04-02,"2023-05-05","Alameda",4,"NSH","Deny"
2023-03-19,"2023-03-30","Alameda",4,"NSH","Deny"
2023-01-01,"2023-01-22","Alameda",4,"92","unclear/unknown/pending"
2022-10-26,"2022-11-02","Alameda",4,"80","Deny"
2022-12-06,"2023-08-25","Alameda",4,"880","unclear/unknown/pending"
2023-01-28,"2023-03-25","Alameda",4,"580","Deny"
2023-06-21,"2023-06-26","Alameda",4,"680","unclear/unknown/pending"
2021-01-11,"2021-03-01","Alameda",4,"92","Deny"
2023-02-05,"2023-06-09","Alameda",4,"580","unclear/unknown/pending"
2020-10-08,"2020-10-22","Alameda",4,"24","Deny"
2018-05-15,"2018-07-10","Alameda",4,"NSH [off of 880]","Deny"
2022-08-30,"2023-01-30","Alameda",4,"NSH","Deny"
2021-03-08,"2021-05-20","Alameda",4,"880","Deny"
2021-02-28,"2021-04-12","Alameda",4,"880","Deny"
2023-03-11,"2023-04-24","Alameda",4,"580","unclear/unknown/pending"
2019-07-06,"2019-12-10","Alameda",4,"205","Approve"
2022-12-27,"2023-01-18","Alameda",4,"262","Deny"
2023-04-29,"2023-06-08","Alameda",4,"580","unclear/unknown/pending"
2020-03-06,"2021-03-11","Alameda",4,"84","Deny"
2023-01-19,"2023-04-17","Alameda",4,"880","Deny"
2019-02-14,"2019-06-03","Alameda",4,"13","Deny"
2022-08-26,"2023-02-16","Alameda",4,"80","Deny"
2021-10-25,"2021-11-16","Alameda",4,"880","Deny"
2023-01-18,"2023-04-18","Alameda",4,"880","Deny"
2023-03-25,"2023-04-06","Alameda",4,"NSH","Deny"
2018-06-22,"2018-07-05","Alameda",4,"84","Deny"
2023-04-15,"2023-08-30","Alameda",4,"880","unclear/unknown/pending"
2023-06-12,"2023-06-20","Alameda",4,"680","Deny"
2023-03-24,"2023-03-27","Alameda",4,"880","Deny"
2022-11-22,"2022-12-29","Alameda",4,"680","Deny"
2022-12-05,"2023-02-21","Alameda",4,"680","unclear/unknown/pending"
2023-03-14,"2023-04-03","Alameda",4,"580","unclear/unknown/pending"
2022-01-28,"2022-02-15","Alameda",4,"880","Deny"
2018-10-29,"2019-03-26","Alameda",4,"680","Deny"
2021-12-19,"2022-02-01","Alameda",4,"280","Deny"
2020-01-11,"2020-02-05","Alameda",4,"unknown","unclear/unknown/pending"
2023-03-12,"2023-03-29","Alameda",4,"92","unclear/unknown/pending"
2022-11-14,"2023-04-14","Alameda",4,"880","Deny"
2020-02-23,"2020-06-30","Alameda",4,"580","Deny"
2023-01-01,"2023-01-30","Alameda",4,"580","unclear/unknown/pending"
2020-09-30,"2020-11-24","Alameda",4,"980","unclear/unknown/pending"
2023-04-28,"2023-10-10","Alameda",4,"580","unclear/unknown/pending"
2019-02-26,"2019-04-16","Alameda",4,"NSH","Deny"
2019-02-23,"2019-03-05","Alameda",4,"580","Deny"
2023-02-15,"2023-08-14","Alameda",4,"185","unclear/unknown/pending"
2022-12-31,"2023-01-20","Alameda",4,"580","Deny"
2023-01-10,"2023-03-24","Alameda",4,"84","Deny"
2018-11-22,"2019-01-15","Alameda",4,"24","Deny"
2021-09-29,"2021-11-23","Alameda",4,"580","Deny"
2023-02-06,"2023-03-02","Alameda",4,"880","Deny"
2023-03-16,"2023-04-20","Alameda",4,"880","unclear/unknown/pending"
2023-04-04,"2023-06-01","Alameda",4,"Pothole","unclear/unknown/pending"
2018-11-28,"2019-02-19","Alameda",4,"24","Deny"
2022-12-31,"2023-02-09","Alameda",4,"580","Deny"
2021-01-02,"2021-10-20","Alameda",4,"580","Deny"
2018-12-17,"2019-02-13","Alameda",4,"580","Deny"
2018-10-09,"2018-10-30","Alameda",4,"880","Deny"
2023-04-14,"2023-07-03","Alameda",4,"680","unclear/unknown/pending"
2023-03-22,"2023-03-30","Alameda",4,"580","Deny"
2022-08-05,"2022-08-19","Alameda",4,"680","Deny"
2023-03-20,"2023-04-05","Alameda",4,"84","unclear/unknown/pending"
2023-04-28,"2023-05-02","Alameda",4,"980","Deny"
2019-02-02,"2019-05-29","Alameda",4,"880","Deny"
2019-02-19,"2019-03-05","Alameda",4,"580","Approve"
2020-08-18,"2020-10-08","Alameda",4,"880","Deny"
2018-10-10,"2019-07-03","Alameda",4,"680","Deny"
2022-12-31,"2023-03-10","Alameda",4,"580","Deny"
2023-02-11,"2023-04-14","Alameda",4,"980","Deny"
2018-07-27,"2018-08-14","Alameda",4,"NSH","Deny"
2022-02-05,"2022-07-21","Alameda",4,"84","Deny"
2018-04-12,"2018-05-09","Alameda",4,"84","Deny"
2022-08-24,"2022-10-06","Alameda",4,"NSH","Deny"
2018-01-13,"2018-03-21","Alameda",4,"880","Deny"
2019-06-14,"2019-10-29","Alameda",4,"123","Deny"
2018-10-20,"2018-11-16","Alameda",4,"580","Deny"
2023-01-23,"2023-03-25","Alameda",4,"580","Deny"
2018-05-01,"2018-06-05","Alameda",4,"580","Deny"
2023-01-10,"2023-01-13","Alameda",4,"680","Deny"
2023-01-02,"2023-01-31","Alameda",4,"92","unclear/unknown/pending"
2020-01-25,"2021-02-25","Alameda",4,"880","Deny"
2022-12-13,"2022-12-15","Alameda",4,"680","Deny"
2018-08-06,"2018-08-28","Alameda",4,"580","Approve"
2019-01-19,"2019-03-01","Alameda",4,"580","Deny"
2019-08-17,"2019-09-25","Alameda",4,"84","unclear/unknown/pending"
2019-08-28,"2020-03-03","Alameda",4,"205","Deny"
2023-04-07,"2023-06-27","Alameda",4,"880","Deny"
2023-01-07,"2023-01-20","Alameda",4,"880","Deny"
2020-12-02,"2021-03-25","Alameda",4,NA,"Deny"
2023-03-13,"2023-03-22","Alameda",4,"580","Deny"
2023-03-19,"2023-03-20","Alameda",4,"24","unclear/unknown/pending"
2021-12-31,"2022-05-19","Alameda",4,"580","Deny"
2021-03-03,"2021-06-15","Alameda",4,"880","Deny"
2023-05-04,"2023-05-26","Alameda",4,"880","Deny"
2019-01-26,"2019-06-19","Alameda",4,"580","unclear/unknown/pending"
2023-03-11,"2023-03-27","Alameda",4,"880","unclear/unknown/pending"
2023-01-06,"2023-01-20","Alameda",4,"880","unclear/unknown/pending"
2023-03-29,"2023-09-29","Alameda",4,"880","unclear/unknown/pending"
2018-02-06,"2018-03-15","Alameda",4,"N.S.H.","Deny"
2022-08-12,"2023-01-19","Alameda",4,"24","Deny"
2023-01-12,"2023-06-07","Alameda",4,"15","Deny"
2019-05-10,"2019-06-03","Alameda",4,"580","Deny"
2021-11-07,"2022-02-15","Alameda",4,"84","unclear/unknown/pending"
2023-02-07,"2023-02-15","Alameda",4,"24","Deny"
2022-12-31,"2023-02-18","Alameda",4,"238","Deny"
2019-01-17,"2019-02-26","Alameda",4,"580","Small Claims Court"
2022-12-31,"2023-01-07","Alameda",4,"NSH","Deny"
2019-01-10,"2019-03-13","Alameda",4,"205","Deny"
2022-11-09,"2023-03-03","Alameda",4,"260","Deny"
2022-12-23,"2022-12-30","Alameda",4,"262","Deny"
2021-12-28,"2022-02-15","Alameda",4,"84","Deny"
2023-04-18,"2023-05-23","Alameda",4,"24","unclear/unknown/pending"
2019-03-25,"2019-04-30","Alameda",4,"580","Deny"
2022-05-24,"2022-06-16","Alameda",4,"84","Deny"
2018-11-12,"2018-12-11","Alameda",4,"680","unclear/unknown/pending"
2021-10-24,"2022-01-25","Alameda",4,"880","Deny"
2018-10-18,"2018-11-01","Alameda",4,"880","Deny"
2020-11-27,"2021-04-19","Alameda",4,"580","Deny"
2018-01-10,"2018-03-09","Alameda",4,"92","Deny"
2019-06-22,"2020-03-24","Alameda",4,"880","Deny"
2018-08-21,"2018-11-15","Alameda",4,"880","Deny"
2022-12-10,"2022-12-19","Alameda",4,"84","unclear/unknown/pending"
2023-03-12,"2023-05-16","Alameda",4,"880","unclear/unknown/pending"
2023-04-19,"2023-05-11","Alameda",4,"880","unclear/unknown/pending"
2018-10-29,"2019-05-03","Alameda",4,"680","Deny"
2023-04-25,"2023-05-13","Alameda",4,"880","unclear/unknown/pending"
2022-01-18,"2022-02-08","Alameda",4,"24","Deny"
2018-09-01,"2018-10-04","Alameda",4,"580","Deny"
2022-11-04,"2023-01-11","Alameda",4,"84","Approve"
2019-04-05,"2019-07-29","Alameda",4,"680","Deny"
2019-09-20,"2020-10-20","Alameda",4,"880","Deny"
2019-01-21,"2019-02-11","Alameda",4,"205","Approve"
2023-03-02,"2023-03-21","Alameda",4,"880","unclear/unknown/pending"
2023-03-04,"2023-07-21","Alameda",4,"580","unclear/unknown/pending"
2023-05-11,"2023-06-02","Alameda",4,"880","unclear/unknown/pending"
2021-12-14,"2022-01-11","Alameda",4,"580","Deny"
2022-12-31,"2023-04-07","Alameda",4,"580","unclear/unknown/pending"
2021-07-15,"2021-08-12","Alameda",4,"880","Deny"
2023-06-17,"2023-07-13","Alameda",4,"680","unclear/unknown/pending"
2023-01-07,"2023-03-20","Alameda",4,"880","Deny"
2023-01-17,"2023-01-24","Alameda",4,"NSH","Deny"
2022-12-31,"2023-01-10","Alameda",4,"580","unclear/unknown/pending"
2018-04-28,"2018-05-11","Alameda",4,"NSH","Deny"
2023-04-18,"2023-06-20","Alameda",4,"NSH","unclear/unknown/pending"
2023-02-06,"2023-02-17","Alameda",4,"880","unclear/unknown/pending"
2018-02-10,"2018-06-21","Alameda",4,"580","Deny"
2023-01-13,"2023-02-24","Alameda",4,"980","Deny"
2019-01-16,"2019-07-09","Alameda",4,"880","Deny"
2022-12-11,"2023-05-08","Alameda",4,"84","Deny"
2023-03-24,"2023-04-28","Alameda",4,"NSH","unclear/unknown/pending"
2021-10-25,"2021-11-16","Alameda",4,"580","Deny"
2022-08-08,"2022-10-19","Alameda",4,"?","unclear/unknown/pending"
